lexisGroup-id	lexisOnTextAE-id	Registered	LastUpdated
lexisGroup-id_8	lexisOnTextAE-id_97	2021-08-21	
lexisGroup-id_8	lexisOnTextAE-id_98	2021-08-21	
lexisGroup-id_8	lexisOnTextAE-id_99	2021-08-21	
lexisGroup-id_8	lexisOnTextAE-id_100	2021-08-21	
lexisGroup-id_8	lexisOnTextAE-id_101	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_102	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_103	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_104	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_105	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_106	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_107	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_108	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_109	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_110	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_111	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_112	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_113	2021-08-21	
lexisGroup-id_9	lexisOnTextAE-id_114	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_115	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_116	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_117	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_118	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_119	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_120	2021-08-21	
lexisGroup-id_10	lexisOnTextAE-id_121	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_122	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_123	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_124	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_125	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_126	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_127	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_128	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_129	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_130	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_131	2021-08-21	
lexisGroup-id_11	lexisOnTextAE-id_132	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_133	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_134	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_135	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_136	2021-08-21	
